filename,vocal_status,bpm,key,genre,caption
ACRAZE - Take Me Away (Extended Mix).wav,chops,123,Ab major,,"groovy tech house, vocal-chop hook and punchy drums, dramatic builds and drops, stripped-back minimal drums, lean tight low end, sparse chopped vocal hooks"
Alesso - Hypnotize (Extended Mix).mp3,chops,124,G minor,Bass House,"groovy bass house, big-room synth leads, steady rolling groove, dark moody tone, busy layered percussion, sparse chopped vocal hooks"
Alex Wann - Milkshake (Original Mix).wav,chops,117,D minor,,"groovy house, groovy sample-led house, dramatic builds and drops, dark moody tone, busy layered percussion, lean tight low end, sparse chopped vocal hooks"
"Andruss, HUGEL, Fatboi - Pega (Extended Mix).mp3",chops,128,E minor,Tech House,"driving tech house, latin percussion groove, dark moody tone, busy layered percussion, sparse chopped vocal hooks"
Biscits - Crush  (Extended Mix).mp3,chops,132,F major,House,"driving house, bouncy bassline groove, dark moody tone, stripped-back minimal drums, weighty sub-heavy low end, sparse chopped vocal hooks"
Biscits - Freak  (Extended Mix).wav,chops,129,B minor,,"driving tech house, bouncy bassline groove, sparse chopped vocal hooks"
Biscits - Selecta (Extended Mix).mp3,chops,128,bb minor,Tech House,"driving tech house, bouncy bassline groove, dramatic builds and drops, weighty sub-heavy low end, sparse chopped vocal hooks"
Borai & Denham Audio - Make Me (Franky Rizardo Extended Remix).mp3,chops,130,bb minor,House,"driving house, breakbeat drums and rave stabs, brooding reese bassline, bright crisp top end, busy layered percussion, sparse chopped vocal hooks"
Bruno Furlan - Bongoloco (Original Mix).wav,chops,129,F# minor,,"driving tech house, quirky percussion and punchy groove, dramatic builds and drops, sparse chopped vocal hooks"
"CID, BURNR - Turn it Up (Extended Mix).mp3",chops,130,F minor,Tech House,"driving tech house, dramatic builds and drops, busy layered percussion, sparse chopped vocal hooks"
CamelPhat - Drop It (Extended Mix).mp3,instrumental,125,Eb minor,House,"groovy house, dark rolling groove with melodic hooks, bright crisp top end, busy layered percussion, instrumental club track"
Chelina Manuhutu - All On You (Extended Mix).wav,instrumental,123,Ab minor,,"groovy tech house, driving percussive groove, steady rolling groove, bright crisp top end, busy layered percussion, weighty sub-heavy low end, instrumental club track"
Chelina Manuhutu - Big G (Original Mix).wav,instrumental,123,A minor,,"groovy tech house, driving percussive groove, steady rolling groove, bright crisp top end, busy layered percussion, instrumental club track"
Chris Lorenzo - Pump (Extended Mix).wav,instrumental,129,E minor,,"driving bass house, prowling bassline and UK bass energy, steady rolling groove, dark moody tone, weighty sub-heavy low end, instrumental club track"
Cloonee - Fine Night (Original Mix).wav,chops,129,F minor,,"driving house, dramatic builds and drops, stripped-back minimal drums, weighty sub-heavy low end, sparse chopped vocal hooks"
Dateless - Shoes On Please (Original Mix).mp3,chops,123,C minor,Tech House,"groovy tech house, dark moody tone, weighty sub-heavy low end, sparse chopped vocal hooks"
"David Amo, Julio Navas, Gustavo Bravetti - Raw (Tony Romera Extended Mix).mp3",instrumental,128,F major,Tech House,"driving tech house, busy layered percussion, instrumental club track"
Dusky - Careless (Original Mix).mp3,chops,121,G minor,Deep House,"groovy deep house, bright crisp top end, lean tight low end, sparse chopped vocal hooks"
FISHER (OZ) - You Little Beauty (Extended).wav,chops,123,Bb major,,"groovy house, stripped-back minimal drums, sparse chopped vocal hooks"
FM STROEMER - Morning Light (Future Funk Remix).wav,instrumental,123,A minor,,"groovy house, steady rolling groove, bright crisp top end, stripped-back minimal drums, lean tight low end, instrumental club track"
Finn - Sometimes The Going Gets A Little Tough (Ferreck Dawn & Robosonic Extended Remix).mp3,chops,124,F minor,House,"groovy house, bright crisp top end, lean tight low end, sparse chopped vocal hooks"
Flashmob - Hardbase & Bassline (Original Mix).mp3,instrumental,124,C minor,Tech House,"groovy tech house, busy layered percussion, instrumental club track"
Gorgon City - Primal Call (Extended Mix).mp3,instrumental,124,A minor,Funky House,"groovy funky house, steady rolling groove, bright crisp top end, busy layered percussion, instrumental club track"
"Green Velvet, Chris Lake - Deceiver (VIP) (Extended Mix).wav",chops,123,Eb major,,"groovy house, steady rolling groove, stripped-back minimal drums, sparse chopped vocal hooks"
Hatiras - Spaced Invader (Original Mix).mp3,instrumental,133,Gb minor,House,"driving house, steady rolling groove, bright crisp top end, stripped-back minimal drums, lean tight low end, instrumental club track"
John Summit - In Chicago (Extended Mix).wav,chops,123,D minor,,"groovy house, dark moody tone, weighty sub-heavy low end, sparse chopped vocal hooks"
John Summit - La Danza (Extended Mix).wav,instrumental,123,Db major,,"groovy house, dark moody tone, stripped-back minimal drums, instrumental club track"
John Summit - Make Me Feel (Original Mix).wav,chops,123,C minor,,"groovy house, weighty sub-heavy low end, sparse chopped vocal hooks"
"Laidback Luke, BLVD. - Cielo (Original Mix).wav",instrumental,123,Ab major,,"groovy house, dramatic builds and drops, weighty sub-heavy low end, instrumental club track"
MD X-Spress - God Made Me Phunky (Original Mix).wav,chops,129,F minor,,"driving house, steady rolling groove, weighty sub-heavy low end, sparse chopped vocal hooks"
Martin Ikin - Hustlin_ (Extended Mix).mp3,chops,129,Gb minor,Tech House,"driving tech house, dark moody tone, sparse chopped vocal hooks"
"Martin Ikin, Noizu - Burnin_ (Original Mix).mp3",chops,128,F minor,Tech House,"driving tech house, sparse chopped vocal hooks"
Matroda - Naughty Sax (Original Mix).mp3,instrumental,127,Ab minor,Tech House,"driving tech house, steady rolling groove, dark moody tone, weighty sub-heavy low end, instrumental club track"
"Matroda, TEKO - When The Bass Kicks In (Original Mix).mp3",chops,128,G minor,Tech House,"driving tech house, dramatic builds and drops, bright crisp top end, stripped-back minimal drums, lean tight low end, sparse chopped vocal hooks"
Matteo Dentone - People (Original Mix).mp3,instrumental,127,G major,Jackin House,"driving house, weighty sub-heavy low end, instrumental club track"
Mau P - MERTHER (Extended Mix).mp3,instrumental,128,F minor,Tech House,"driving tech house, steady rolling groove, bright crisp top end, instrumental club track"
"Max Dean, Luke Dean, Locky (UK) - Can_t Decide (Extended).mp3",chops,130,Ab major,Tech House,"driving tech house, dark moody tone, busy layered percussion, weighty sub-heavy low end, sparse chopped vocal hooks"
Max Styler - Lights Out (Extended Mix).mp3,chops,128,Gb major,Tech House,"driving tech house, busy layered percussion, lean tight low end, sparse chopped vocal hooks"
Mochakk - Jealous (Extended Mix).mp3,chops,128,E minor,House,"driving house, steady rolling groove, busy layered percussion, sparse chopped vocal hooks"
NESI (ES) - This Time (Original Mix).mp3,instrumental,129,F minor,House,"driving house, lean tight low end, instrumental club track"
Odd Mob - XTC (Extended Mix).wav,chops,129,Eb major,,"driving house, sparse chopped vocal hooks"
"Odd Mob, OMNOM - Losing Control (Extended Mix).mp3",chops,134,G major,Tech House,"driving tech house, dark moody tone, stripped-back minimal drums, sparse chopped vocal hooks"
Overmono - Is U (Original Mix).wav,chops,129,G minor,,"driving house, steady rolling groove, dark moody tone, stripped-back minimal drums, lean tight low end, sparse chopped vocal hooks"
"Prok & Fitch, SOSA (UK) - Dance Lapse (Original Mix).mp3",instrumental,128,B minor,Tech House,"driving tech house, dramatic builds and drops, stripped-back minimal drums, instrumental club track"
Riordan - Needle On The Record (Extended Mix).mp3,chops,129,Eb minor,Tech House,"driving tech house, dramatic builds and drops, dark moody tone, sparse chopped vocal hooks"
SOSA (UK) - Bring It Back (Original Mix).mp3,instrumental,132,C minor,Tech House,"driving tech house, dramatic builds and drops, instrumental club track"
Solardo - On the Corner (Extended Mix).mp3,chops,125,G minor,House,"groovy house, dark moody tone, stripped-back minimal drums, lean tight low end, sparse chopped vocal hooks"
"Solardo, Joshwa - Slow Down (Extended).mp3",chops,129,A minor,Tech House,"driving tech house, bright crisp top end, lean tight low end, sparse chopped vocal hooks"
"Solardo, Joshwa - VIP Business (Original Mix).wav",chops,129,Bb major,,"driving house, lean tight low end, sparse chopped vocal hooks"
Taiki Nulight - Hold On (Original Mix).mp3,instrumental,124,A minor,House,"groovy house, gritty bassline pressure, dramatic builds and drops, bright crisp top end, stripped-back minimal drums, instrumental club track"
"Taiki Nulight, Rennan, Almek - Ruh (Taiki Nulight Afterhours Extended Mix).mp3",instrumental,125,Eb minor,Tech House,"groovy tech house, gritty bassline pressure, instrumental club track"
Toman - Backstage Beauties  (Original Mix).mp3,instrumental,128,Eb major,Minimal / Deep Tech,"driving house, steady rolling groove, weighty sub-heavy low end, instrumental club track"
"Tony Romera, Low Steppa - Dance To The Music (Extended Mix).mp3",chops,126,D minor,Tech House,"driving tech house, dramatic builds and drops, bright crisp top end, lean tight low end, sparse chopped vocal hooks"
Vato Gonzalez - Gypsy Riddim (Extended Mix).mp3,instrumental,130,F minor,Bass House,"driving bass house, steady rolling groove, instrumental club track"
Wuez - Blow Ya Mind (Original Mix).mp3,chops,130,Eb minor,Tech House,"driving tech house, dramatic builds and drops, bright crisp top end, busy layered percussion, sparse chopped vocal hooks"
Yousef - Beg (Hot Since 82 Future Mix).mp3,chops,122,E minor,Deep House,"groovy deep house, stripped-back minimal drums, lean tight low end, sparse chopped vocal hooks"
warner case - miss me (Club Edit).mp3,chops,126,A minor,Tech House,"driving tech house, dramatic builds and drops, weighty sub-heavy low end, sparse chopped vocal hooks"
